artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
$MASH,Devotion,0,0,0,0,0,0,84015,0,0,0,0,0,None
$ilkMoney,My Potna Dem,3204,0,0,0,696,0,998,0,153337,0,0,0,drumless hip hop
$uicideboy$,Now I'm up to My Neck with Offers,0,0,0,0,0,0,0,0,0,0,250223,0,None
&ME,The Rapture Pt.III,0,0,0,0,0,0,0,0,0,175041,0,2815,deep disco house
(G)I-DLE,Oh my god,0,1390,0,0,0,0,0,0,113016,0,0,0,None
(G)I-DLE,Put It Straight - Nightmare Version,0,0,0,0,0,0,256493,0,0,0,0,0,None
*NSYNC,It's Gonna Be Me,0,1253,0,11337,0,0,0,0,981,0,0,1578,boy band
015B,My Hair Is Green,0,0,0,0,11530,0,0,0,0,0,0,0,None
015B,Snow in Seoul,0,0,0,0,597,0,0,0,0,0,0,0,None
03 Greedo,Substance,640,812,0,0,219834,1941,0,0,768,0,0,1215,cali rap
1017 ALYX 9SM,Famous Last Words (An Ode to Eaters),0,0,0,0,0,0,0,0,0,0,17535,0,None
1will,eyes don't lie,0,0,0,0,0,15231,0,0,0,0,0,0,None
21 Savage,Call Me Revenge - Call of Duty: Modern Warfare 3,3135,0,0,0,0,0,0,0,0,0,595054,25089,atl hip hop
21 Savage,Glock In My Lap,8896,0,0,0,215366,198511,0,0,0,0,0,8256,atl hip hop
21 Savage,Intro,0,0,0,0,0,70044,0,0,0,0,0,0,None
21 Savage,Many Men,0,0,0,0,0,201856,0,0,0,0,0,0,None
21 Savage,Mr. Right Now (feat. Drake),18911,0,0,0,0,193838,0,0,0,0,0,0,None
21 Savage,Rich Nigga Shit (feat. Young Thug),0,0,0,0,0,190331,0,0,0,0,0,0,None
21 Savage,Runnin,0,0,0,0,141246,268381,197420,0,0,0,0,144042,atl hip hop
21 Savage,Slidin,0,0,0,0,0,185036,0,0,0,0,0,0,None
21 Savage,Snitches & Rats (Interlude),0,0,0,0,0,57073,0,0,0,0,0,0,None
21 Savage,Snitches & Rats (feat. Young Nudy),0,0,0,0,0,38751,0,0,0,0,0,0,None
21 Savage,all of me,1450,0,0,0,0,0,0,0,0,0,0,0,None
21 Savage,american dream,6421,0,0,0,0,0,0,0,0,0,0,0,None
21 Savage,dangerous,2090,0,0,0,0,0,0,0,0,0,0,0,None
21 Savage,monster,0,0,0,0,12074,0,0,0,0,0,0,0,None
21 Savage,nee-nah,5717,0,0,0,0,0,0,0,0,0,0,0,None
21 Savage,red sky,6826,0,0,0,0,0,0,0,0,0,0,0,None
21 Savage,sneaky,1941,0,0,0,0,0,0,0,0,0,0,0,None
2NE1,COME BACK HOME,0,0,0,98846,103468,0,0,0,0,0,0,0,None
2Pac,California Love - Original Version,0,0,0,0,2715,0,0,0,0,0,0,1856,g funk
2Pac,Only God Can Judge Me (ft. Rappin' 4-Tay),0,0,0,0,97278,0,83904,0,5780,0,1301,0,g funk
2xSihta,Baci to na pod,0,0,0,0,0,18325,0,0,0,0,0,0,None
2xSihta,Vruca kmica 3,0,0,0,0,0,6506,0,0,0,0,0,0,None
3 Hurel,Bir Sevmek Bin Defa Olmek Demekmis,0,0,0,1216,0,0,0,0,0,0,0,0,None
3 Hurel,Madalyonun Ters Yuzu,0,35781,0,73908,0,0,0,0,0,0,0,0,None
310babii,Soak City (Do it),0,0,0,0,0,0,0,0,0,0,0,789,None
4 Non Blondes,What's Up?,0,296322,0,0,0,3041,0,0,0,0,938,0,new wave pop
5 Seconds of Summer,Lie To Me,0,0,746,0,0,19409,0,0,0,0,0,0,boy band
5 Seconds of Summer,Teeth,0,4597,0,0,7140,0,0,0,853,0,0,0,boy band
6 Dogs,Saturn,96233,0,0,0,0,0,0,0,0,0,0,0,None
6LACK,PRBLMS,0,246773,0,0,0,0,0,0,0,0,0,0,None
725,Gozlerime Bak,0,0,0,0,0,0,180727,0,0,0,0,180727,None
77th Man,Motion Blur,0,0,0,0,0,0,125625,0,0,0,0,0,None
88rising,Split,0,0,0,0,4095,0,0,0,0,0,0,0,None
90 BPM,4 Silahli Adam,0,0,0,459260,367250,0,0,0,367250,0,0,0,None
90 BPM,Ambulans,0,0,0,290823,0,290824,0,0,290823,0,407743,0,None
90 BPM,"Bekle, Iste, Yap",0,0,0,263902,0,0,0,0,0,0,0,0,None
90 BPM,Beygir Ali,0,0,0,261000,0,0,0,303861,0,0,0,0,None
90 BPM,Elimde Yalanlarla,0,0,89075,0,0,0,0,0,0,0,1910,0,None
90 BPM,En Son Ne Zaman,0,0,0,77040,0,0,0,12283,0,0,0,0,None
90 BPM,Hatira Muzesi,0,0,0,255512,0,0,0,50530,255512,0,187756,0,None
90 BPM,Isiklarin Altinda,0,0,0,190496,190496,0,0,190496,190496,0,177989,0,None
90 BPM,Kotuler,0,0,174570,1161210,0,0,0,456450,361616,0,13100,0,None
90 BPM,Ne Olacaksa Olsun,0,0,0,0,0,0,0,111570,0,0,78320,0,None
90 BPM,Simsiyah,0,0,0,351033,0,0,0,568983,334492,0,190101,0,None
90 BPM,Tekduze,0,0,0,110680,0,0,0,218534,0,0,0,0,None
90 BPM,Umut Var,0,0,0,68177,0,0,0,0,0,0,114079,0,None
90 BPM,Yalan,0,0,0,240432,0,0,0,0,0,0,0,0,None
90 BPM,Ciplak Vatandas,0,0,0,166290,0,0,0,0,0,0,0,0,None
90 BPM,Sehir,0,0,0,57832,0,0,0,0,0,0,0,0,None
916frosty,enough,0,1044,4955,0,1277,98363,0,0,0,0,0,0,emo rap
A Flock Of Seagulls,I Ran (So Far Away) - Single Edit,88099,0,0,0,0,0,0,0,0,0,0,0,new romantic
A Tergo Lupi,Hunt or be hunted,0,0,0,0,0,0,0,0,145714,0,0,0,None
A Tergo Lupi,Rot,0,0,0,0,0,0,0,0,0,0,115332,0,None
A$AP ANT,3AM in New Orleans,0,0,0,133679,0,0,0,0,0,0,0,0,None
A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),0,0,0,0,0,0,0,0,0,0,323960,0,None
A$AP Rocky,Phoenix,0,0,0,0,0,233880,0,6122,0,0,0,0,east coast hip hop
A$AP Rocky,Sundress,157576,158205,0,0,0,0,158205,0,0,1857,0,0,east coast hip hop
A$AP Rocky,r - Cali,0,0,0,0,0,240527,11238,0,0,0,0,139706,east coast hip hop
ABBA,Chiquitita,326320,1880,0,0,151486,0,0,0,0,0,0,0,europop
ABBA,Does Your Mother Know,0,0,0,0,0,0,0,0,0,0,0,0,None
ABBA,Fernando,0,0,0,0,0,0,0,0,917,0,0,0,europop
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),296047,0,0,26190,0,0,0,0,0,0,0,0,europop
ABBA,Lay All Your Love On Me,0,143115,0,0,2971,0,0,0,0,0,0,0,europop
ABBA,"Money, Money, Money",0,0,21737,0,0,0,0,0,0,0,1810,0,europop
ABBA,SOS,0,0,0,0,0,0,0,0,0,0,185101,0,europop
ABBA,The Winner Takes It All,0,0,0,0,0,0,0,0,0,0,970,0,None
ADONA,Dark Things,0,0,0,0,0,0,26122,0,0,0,0,0,None
AG,Terrible Thing,217680,0,0,0,0,0,0,0,0,0,0,0,None
ALEX&RUS,Dikaia l'vitsa,0,0,0,0,6130,0,0,0,0,0,0,0,None
ALFA,Abra Kadabra,0,0,0,0,0,0,0,54850,143904,0,2090,1088,None
ALIZADE,24/7,0,0,0,333509,2424521,802151,630621,9500,251774,0,2871,1642,None
ALIZADE,AFEDERSIN,0,0,0,0,0,254429,235093,24845,330932,124651,0,1407,None
ALIZADE,ANORMAL,0,0,0,0,0,0,0,114000,114000,0,114000,0,None
ALIZADE,BALENCIAGA,0,0,0,0,0,0,121928,0,0,0,0,0,None
ALIZADE,Baby Naber?,0,0,0,0,0,0,0,28352,350414,0,0,0,None
ALIZADE,Beynimi Siktin,0,0,0,0,0,0,73574,24034,375026,0,185963,0,None
ALIZADE,ESTAFURLA,0,0,0,0,173487,142999,0,143342,545978,2420,3767,1727,None
ALIZADE,Hapisane,0,164768,1496,0,0,221208,0,0,425670,0,246335,155092,None
ALIZADE,KEKO,0,0,0,0,0,69493,0,0,0,0,0,0,None
ALIZADE,Kalbin bana kaldi,248580,1137,2676,5369,0,12615,147078,1857,293370,0,12986,5333,None
ALIZADE,Kedi gibiyim,93853,0,0,0,0,0,0,0,0,0,0,55573,None
ALIZADE,PIC BOCEK,0,789,0,0,5863,214302,773080,957231,1815686,128506,611193,59090,None
ALIZADE,SIYAH ARABA,0,0,0,0,0,53248,0,0,0,0,0,0,None
ALIZADE,Trip attim,0,0,0,0,0,0,0,0,0,163911,64714,121884,None
ALIZADE,YALLA,0,0,0,0,0,228765,0,0,0,0,0,0,None
ALIZADE,SU AN,0,0,0,248395,146629,266817,143071,243690,586652,1346,15357,349293,None
ALTEGO,Bling Bling,8981,0,0,0,0,0,0,0,0,0,0,0,None
ALTEGO,Toxic Pony,2304,0,0,0,0,0,0,0,0,0,0,0,None
ALYSS,Pyramid,0,0,0,0,233684,0,0,0,0,0,0,0,None
AMARIA BB,Slow Motion,0,0,0,0,0,0,0,0,0,0,0,2346,dancehall queen
ATE,Diger Yarim,462362,82172,0,0,0,287178,0,144196,584740,2043,21077,7786,None
ATEEZ,Answer,0,0,0,0,0,0,1927,0,0,0,0,80220,None
ATEEZ,Deja Vu,129120,87539,0,131354,154875,0,0,0,0,0,0,250450,None
ATEEZ,Guerrilla,0,0,0,65781,242123,0,1184,0,207921,0,0,0,None
ATEEZ,"HALA HALA (Hearts Awakened, Live Alive)",0,0,0,0,1114,0,1114,0,0,0,0,0,None
ATEEZ,INCEPTION,91440,160147,0,69334,0,0,0,0,0,0,0,0,None
ATEEZ,Pirate King,15740,0,0,1927,2507,0,0,0,0,0,0,1560,None
ATEEZ,Say My Name,0,0,0,1091,0,0,0,0,0,0,0,0,None
ATEEZ,THANXX,94710,0,0,0,0,0,0,0,0,0,0,0,None
ATEEZ,WONDERLAND,128490,0,0,8691,16785,0,0,0,0,0,0,0,None
AURORA,Animal,0,0,0,0,0,0,0,99329,88550,0,0,0,None
AURORA,Churchyard,97920,0,0,0,0,2590,0,226013,226013,0,0,0,None
AURORA,Cure For Me,0,200837,243885,0,0,397706,1160,201640,198853,0,0,59690,art pop
AURORA,Everything Matters,213906,213179,0,0,0,330507,441209,213906,213906,0,0,213906,None
AURORA,Exhale Inhale,0,0,0,0,0,0,190622,0,0,0,0,0,None
AURORA,Exist For Love,0,249597,0,0,0,0,16471,0,0,0,0,0,None
AURORA,Giving In To The Love,0,0,0,0,0,0,102959,7918,181333,0,0,0,art pop
AURORA,Heathens,0,0,0,0,0,0,225093,0,0,0,0,0,None
AURORA,"Murder Song (5, 4, 3, 2, 1)",0,0,0,0,0,398668,0,200386,339088,0,200386,116948,art pop
AURORA,Runaway,0,247812,0,0,0,0,0,0,248826,0,0,0,None
AURORA,Running With The Wolves,0,2367,0,0,0,0,0,0,194760,0,0,0,None
AURORA,Stjernestov,0,94787,0,0,0,0,0,0,0,0,0,0,None
AURORA,The Forbidden Fruits Of Eden,0,0,0,0,0,0,41753,0,0,0,0,0,None
AURORA,The Innocent,0,0,0,0,0,0,135350,0,0,0,0,0,None
AURORA,The Seed,533938,265961,0,0,0,0,266969,0,266969,0,0,0,None
AURORA,Under The Water,264600,0,0,0,0,0,0,0,0,0,0,0,None
AURORA,Walking In The Air,30441,20189,859,0,0,67710,0,0,0,0,725,1066,art pop
AURORA,You Keep Me Crawling,0,0,0,0,0,179133,179133,0,0,0,0,179133,None
AURORA,Your Blood,0,0,0,0,0,0,0,0,0,0,235378,0,art pop
AVAION,Sleepless,0,0,0,0,165263,0,0,0,0,0,0,0,None
AWOLNATION,The Best,0,0,0,0,0,0,0,0,0,0,0,1301,la indie
AWOLNATION,The Best (feat. Alice Merton),222465,874,0,0,0,0,151278,0,0,0,0,0,None
Aaron Hibell,destroyer of worlds,0,0,0,0,0,0,0,0,2901,0,0,0,None
Aaron Hibell,ghost (feat. HUMAN),0,0,0,0,0,0,10538,0,0,0,0,0,None
Aaron Hibell,talking to the moon,0,0,0,0,0,0,11470,0,0,0,0,0,None
Aaron May,Make It,0,0,0,77374,0,0,0,0,0,0,0,0,None
Aaron May,What It Take,0,0,0,161806,0,0,0,0,0,0,0,0,None
Aaron Smith,Dancin - Krono Remix,0,0,0,0,0,725,0,0,0,0,0,0,chicago house
Ace of Base,All That She Wants,8870,0,0,0,0,0,0,0,0,0,0,0,None
Ace of Base,Beautiful Life,0,0,0,0,0,0,0,0,0,12501,0,0,None
Acil Servis,Bebek,0,1695,0,2786,0,0,0,0,0,0,0,0,None
Ada De Antonio,About Chloe,0,0,0,0,147500,0,0,0,0,0,0,0,None
Adam Hicks,"Determinate - From ""Lemonade Mouth""",0,0,47569,0,3140,0,0,0,1066,0,0,0,pop
Adam Lambert,Ghost Town,208330,0,0,0,0,0,0,0,0,0,419680,1642,dance pop
Adamlar,Acinin Ilaci,0,0,0,0,0,960,490,0,0,0,0,0,None
Adamlar,Ah Benim Hayatim,0,0,18560,0,0,0,0,0,0,0,0,0,None
Adamlar,Benden Bana,0,0,0,0,1450,0,0,1023,0,0,0,0,None
Adamlar,Derine Indik,0,0,0,0,800,0,0,0,0,0,0,0,None
Adamlar,E Tabi,0,0,0,0,183180,266147,0,0,0,0,0,0,None
Adamlar,Hepinize El Salladim,0,0,0,0,0,10303,0,0,0,0,0,0,None
Adamlar,Kapisi Kapali,0,0,300136,0,0,640,0,0,0,0,0,0,None
Adamlar,Koca Yasli Sisko Dunya,3610,0,0,0,0,0,0,618,0,88450,155350,0,None
Adamlar,Mavi Ekran,0,0,0,0,0,0,0,0,0,0,99199,0,None
Adamlar,Orda Ortada,0,0,28372,0,0,0,0,0,0,0,0,0,None
Adamlar,Ruyalarda Burusmusum,0,1973,0,0,4800,0,0,0,0,0,0,0,None
Adamlar,Sarilirim Birine,0,0,0,0,1560,0,0,0,0,0,1520,0,None
Adamlar,Zombi,0,0,0,0,0,0,0,0,0,0,23770,0,None
Adamlar,Oyle Normal,0,0,0,193075,0,0,0,0,0,0,0,0,None
Adamlar,Sakaci Birisin Sen,0,0,0,1536,0,0,0,0,0,0,0,0,None
Added Color,Unlucky,0,0,0,0,0,0,0,0,0,0,0,1002,None
Adele,Lovesong,0,0,0,4551,3343,330370,316240,0,0,0,5290,0,british soul
Adele,Rolling in the Deep,0,4783,0,7112,5910,0,0,228093,0,0,0,0,british soul
Adele,Rumour Has It,0,0,0,0,409466,0,223266,0,0,0,0,0,british soul
Adele,Set Fire to the Rain,0,0,0,0,247779,58310,12655,0,242973,0,0,0,british soul
Adele,Skyfall,0,859,0,0,286480,0,0,0,0,0,288010,0,british soul
Adele,Water Under the Bridge,0,0,0,0,1300,0,0,0,0,1277,0,0,british soul
Adrian Von Ziegler,Spirits of the Wild,0,0,0,0,0,0,0,0,0,0,0,12757,None
Adrie,Se Acaba,0,0,0,0,0,0,0,0,0,0,52546,0,None
Adrift,Beacon,0,0,0,0,0,0,0,0,0,0,0,55020,None
Afroman,Crazy Rap (Colt 45 & 2 Zig Zags),0,0,248896,0,227124,0,0,0,0,91661,0,277475,comedy rap
Aga B,3500 (feat. Ezhel),0,0,0,0,0,0,0,0,0,0,0,507442,None
Aga B,Algimiz Pis,390129,0,160470,0,0,0,0,0,0,0,0,225872,None
Aga B,Eyvah,0,0,0,0,0,0,0,0,0,0,0,209773,None
Aga B,Pi Parca Puzzle,0,0,0,0,0,0,0,0,0,0,0,111219,None
Agar Agar,I'm That Guy,0,0,0,0,0,2280,0,0,0,0,0,0,None
Agnes Obel,Familiar,0,0,0,0,0,2220,0,0,0,0,0,0,None
Agnes Obel,Fuel to Fire,0,0,0,0,0,0,0,0,0,0,0,1705,chamber pop
Agnes Obel,Stretch Your Eyes - Radio Edit,0,0,0,0,0,247379,0,0,0,0,1066,0,None
Ahmet Hatipoglu,Sensiz Hayatimin En Kotu Gunu,8400,0,0,0,0,0,154390,0,0,0,0,0,None
Ahmet Kaya,Icimde Olen Biri,0,0,0,0,0,0,0,0,278,0,0,0,None
Ahn Ye Eun,CHANGGWI,202666,1578,0,251299,0,0,204152,0,0,0,0,0,None
Ahn Ye Eun,Night Flower,0,0,0,0,0,0,882,0,0,0,0,265740,None
Aican,Big El,0,0,0,0,0,0,114754,0,0,0,0,0,None
Airways,Me and My Brain,0,0,0,0,0,0,0,0,0,0,0,90450,None
Ajda Pekkan,Bi' Tik - Midnight Version,132516,0,0,0,0,0,74396,0,0,0,0,0,None
Ajda Pekkan,Bi' Tik - Sunrise Version,110550,0,0,0,0,0,646898,0,0,0,0,0,None
Ajda Pekkan,Bir Gunah Gibi,0,0,896,0,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Bos Sokak,0,0,0,180303,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Bosvermisim Dunyaya,0,0,0,46186,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Haykiracak Nefesim Kalmasa Bile,0,0,0,410290,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Sana Ne Kime Ne,0,0,0,176319,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Sana Neler Edecegim,0,0,0,149,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Sensiz Yillarda,0,0,3541,0,0,0,0,0,0,0,0,0,None
Ajda Pekkan,Uykusuz Her Gece,0,0,0,197026,0,0,0,0,0,0,0,0,None
Aksan,SUR,3111,129706,0,6478,0,1642,262494,314425,536671,3482,413500,16170,None
Al Green,Love and Happiness,150070,234660,2100,0,0,0,1787,0,0,0,5340,0,classic soul
Al'york,We're Gonna Burn Here,223390,1114,0,0,1532,0,0,0,0,0,0,0,instrumental stoner rock
Alan Jackson,Good Time,158160,0,0,0,0,0,0,1088,0,0,0,0,country
Alan Menken,Vanessa's Trick,0,0,0,0,0,0,405,0,0,0,0,0,broadway
Alanna Ubach,La Llorona,0,0,162585,0,0,0,0,0,0,0,0,0,None
Alara Serena,Catwoman,0,0,0,141257,2856,105492,2716,0,169384,1114,1610,10558,None
Alarga,Bu Sehrin Zaptiyesi,0,0,3068,0,0,0,0,0,0,0,0,0,None
Alazka,Echoes,0,0,0,0,0,0,0,0,0,0,0,6016,None
Alba,Bi Sigara,3006,7055,0,1857,3114,10280,0,30882,9215,0,981,166375,None
Alba,Parcalar,0,0,0,0,0,0,0,0,0,0,5596,200180,None
Alborosie,Royal Throne (feat. Ezhel),0,0,0,0,0,1365,11242,0,0,0,1462,36604,None
Alec Benjamin,If I Killed Someone For You,2300,1300,1940,0,0,0,0,185122,1066,0,1730,0,alt z
Alec Benjamin,Water Fountain,0,1114,0,48230,0,4010,0,0,0,0,1380,1045,alt z
Alex Isley,Good & Plenty,204705,0,0,0,0,0,0,0,0,0,0,0,None
Alex Kehm,Intimacy,0,0,0,0,0,22987,0,0,0,0,0,0,None
Alexandra Savior,Audeline,0,0,0,0,0,135978,0,0,0,0,0,0,None
Alexandra Savior,Can't Help Myself,0,0,0,0,0,3073,0,0,0,0,0,0,None
Alexandra Savior,Crying All the Time,0,0,0,1718,0,422143,0,0,1386,0,0,1471,modern dream pop
Aleyna Tilki,Basima Belasin,144131,0,0,0,0,0,0,0,0,0,2540,0,None
Ali Guven,Yolcu,0,0,0,0,0,0,0,0,0,0,0,0,None
Alice Cooper,Poison,0,0,0,0,270080,0,0,0,0,0,0,0,None
Alice Phoebe Lou,Orbit,0,2080,0,2229,0,0,0,0,0,20990,0,177749,south african alternative
Alice et Moi,J'veux sortir avec un rappeur,0,0,152740,0,101981,0,0,0,0,0,0,0,french indie pop
Alice et Moi,Je suis fan,2368,0,0,0,18708,0,0,0,0,0,0,0,french indie pop
Alicia Aylies,Mojo,0,7500,0,0,0,2218,0,0,174283,0,0,0,None
Alisan,Hele Bi (Club Version),0,0,0,0,0,0,0,0,233817,1926,859,163412,None
All Time Low,"Dear Maria, Count Me In",0,0,0,0,181541,0,0,0,0,0,0,0,None
Allame,Allame Sendromu,210390,0,0,0,0,0,0,0,0,0,0,843060,None
Allame,Bir Zombinin Anatomisi,0,0,0,0,0,0,0,0,0,0,0,743341,None
Allame,Bumerang,0,0,0,0,0,0,0,0,28119,0,0,0,None
Allame,Hayalin Yeri Yok,197741,0,0,0,0,0,0,0,0,0,0,317821,None
Allie X,Love Me Wrong,192906,0,0,0,0,38950,0,0,0,0,2409,0,None
Aloe Blacc,I Need A Dollar,0,43607,0,0,0,55744,0,0,243053,0,0,0,pop soul
Aloe Blacc,I'm Comin' Home,34996,0,0,0,0,0,0,0,0,0,640,0,None
Alok,Big Jet Plane (Pharmacist Remix),0,0,15978,0,37461,0,0,0,0,0,0,0,None
Alp,Kariyer Bariyer,0,0,53492,0,0,0,0,0,0,0,0,0,None
Alpay,Eylul'de Gel,0,0,0,181381,0,0,0,0,0,0,0,0,None
Alper Ayyildiz,Agustos Sirilsiklam,0,0,0,0,0,0,2780,0,0,0,0,0,None
Alpha,Feyzullah,0,0,5626,181892,100434,661,4480,3213,66595,0,27173,0,None
Alphaville,Big in Japan,0,1044,0,0,1050,0,0,0,0,0,0,0,new romantic
Alphaville,Sounds Like a Melody,0,1462,177790,0,0,0,0,0,0,0,1369,0,new romantic
Alstad,The Innocents,0,0,0,0,31713,0,0,0,0,0,0,0,None
Alvaro Soler,El Mismo Sol,1365,975,0,0,0,0,0,1472,0,0,69290,0,latin pop
Alvaro Soler,Sofia,0,210466,0,0,2136,0,0,0,0,0,0,0,latin pop
Ama Lou,NORTHSIDE,0,0,0,0,850,0,0,0,0,0,0,0,None
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),0,2182,0,0,0,204763,127189,0,0,0,0,0,afro r&b
Amanda Cy,My Name Next To Yours,0,381340,377648,0,0,704,0,0,0,0,0,188824,None
Amaria,Morning,148160,0,0,0,0,0,0,0,0,0,0,0,None
Amentu,Amanoslar,0,0,0,0,0,0,0,0,0,0,75583,0,None
Amie Hayes,Trinity,101590,0,0,0,0,0,0,0,0,0,0,0,None
Amigo the Devil,Cocaine and Abel,0,0,0,0,0,144290,0,0,0,0,0,0,None
Amigo the Devil,Hell and You,0,0,0,0,0,180080,0,0,0,0,0,0,None
Amindi,slideshow,0,0,0,0,0,0,0,0,0,0,0,44100,None
Amine,Blinds,0,86506,0,0,0,0,0,0,0,0,0,0,None
Amine,Charmander,0,131883,0,0,2856,0,0,0,0,1323,131883,1173,pop rap
Amine,Invincible,0,196386,0,0,0,0,0,0,0,0,0,0,None
Amine,Squeeze,0,111866,0,0,0,0,0,0,0,0,0,0,None
Amo988,(O),0,0,0,0,0,0,175004,0,0,0,0,0,None
Amo988,Yandim Gonlum,0,0,0,0,0,0,0,0,0,0,5866,0,None
Amy Macdonald,This Is The Life,0,0,0,184413,2026,0,185913,0,0,0,0,0,scottish singer-songwriter
Amy Winehouse,Rehab,0,0,0,0,0,198339,0,0,0,0,0,0,None
Anastacia,I'm Outta Love,0,194908,1194,0,242960,0,0,0,0,0,1160,1610,None
Anastacia,Left Outside Alone,0,0,0,258800,177492,0,0,0,0,0,118402,0,None
Andery Toronto,Resheto,0,0,0,0,0,0,0,0,0,0,0,0,None
Andrew Bird,Fake Palindromes,0,0,0,0,0,0,0,0,0,0,0,704,None
Andrew Lloyd Webber,The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture,0,0,0,0,0,0,0,0,0,0,2615,0,broadway
Andres Calamaro,Flaca,0,0,0,0,0,202107,277653,0,0,0,0,0,None
Andy Mineo,Coming In Hot,15510,2645,77967,0,2623,0,0,0,0,0,0,0,christian hip hop
Angara,Drive,0,0,256611,0,256632,0,0,0,0,0,468454,0,melodic house
Angus & Julia Stone,Big Jet Plane,0,0,5653,0,160676,0,0,0,0,0,0,1408,australian indie folk
Angus & Julia Stone,Draw Your Swords,0,0,0,0,0,5100,0,0,0,0,0,0,None
Angele,Balance ton quoi,0,2948,0,0,0,1904,0,0,0,0,0,87317,belgian pop
Angele,CP_009_ Evidemment,0,140875,0,0,0,0,1068,0,0,0,99526,0,belgian pop
Angele,Flou,0,196920,3946,0,0,610,0,0,0,0,0,0,belgian pop
Angele,Insomnies,0,0,0,0,0,0,0,0,0,0,1160,0,belgian pop
Angele,Jalousie,0,0,0,0,1137,0,1857,0,0,0,0,0,belgian pop
Angele,La thune,2434,0,0,0,11819,109414,0,0,0,0,0,1429,belgian pop
Angele,Nombreux,0,0,1021,0,2037,1320,0,0,0,0,0,0,belgian pop
Angele,Perdus,0,144428,0,0,99527,0,0,0,1173,0,0,0,belgian pop
Angele,Ta reine,0,0,0,0,0,0,1648,0,0,0,0,0,belgian pop
Angele,Ta reine - Version orchestrale,0,0,746,0,0,0,0,0,0,1160,789,4629,belgian pop
Angele,Tout oublier,137355,0,0,0,0,938,0,202120,0,0,1880,0,belgian pop
Angele,Tu me regardes,0,1811,0,16958,0,0,0,0,0,0,0,0,belgian pop
Animal Flag,Jealous Lover,0,0,0,0,0,0,0,0,0,0,0,57000,None
Anne-Marie,Our Song,0,0,0,0,0,768,0,0,0,0,0,0,None
Anne-Marie,UNHEALTHY (feat. Shania Twain) - ALTEGO remix,5994,0,0,0,0,0,0,0,0,0,0,0,None
Annie Burnell,All Is Reborn,286875,0,0,0,0,0,0,0,0,0,0,0,None
Annix,Nocturnal,0,0,0,0,0,0,0,223448,0,0,0,0,None
Antonio Banderas,Cancion del Mariachi,0,0,127226,0,2391,0,0,0,0,0,0,0,roots rock
Antonin Dvorak,"The Noonday Witch, Op. 108, B.196",0,0,0,0,0,9130,0,0,0,0,0,0,classical
Anyma,Explore Your Future,0,0,0,0,0,0,0,0,0,0,103234,0,None
Anyma,Syren,0,0,0,0,0,0,0,0,0,0,76626,0,None
Anyma,Welcome To The Opera (with Grimes),0,0,0,0,0,35541,0,0,0,0,245280,0,stutter house
Anil Piyanci,Birakman Dogru Mu,0,0,0,1920,25340,0,0,0,0,0,0,0,None
Anil Piyanci,Gozlerim Seni Ariyor,1690,1343,0,2500,0,0,2020,0,0,0,0,0,None
Anil Piyanci,Kalmadi Tadim Tuzum,0,0,0,0,0,0,0,618,0,0,0,0,None
Apollo Sunshine,We Are Born When We Die,0,0,0,0,0,0,0,57497,0,0,0,0,None
Aqtaii,Silahtan Yastik,0,0,0,0,0,0,7643,0,0,0,0,0,None
Aqua,Barbie Girl,0,0,0,0,0,7675,0,0,0,0,0,0,None
Aquilo,I Lost A Bet,0,0,0,0,0,127021,0,0,0,0,0,0,None
Aquilo,Who Are You,0,0,0,0,0,3540,0,0,0,0,0,0,None
Aram Khachaturian,Khachaturian: Masquerade: I. Waltz,0,0,0,0,0,0,1834,0,0,0,1066,0,caucasian classical
Arch Enemy,The World Is Yours,0,0,0,0,0,0,0,0,0,0,17990,0,None
Archie Summers,By Your Side,1066,0,0,0,0,1173,1114,0,0,0,0,170809,None
Arctic Monkeys,505,253586,2788,0,0,258066,507172,0,0,1280,0,0,206854,garage rock
Arctic Monkeys,A Certain Romance,0,0,0,0,0,0,331200,0,0,0,0,0,None
Arctic Monkeys,Arabella,128713,1207,0,0,0,213364,0,0,0,0,0,209041,garage rock
Arctic Monkeys,Crying Lightning,0,0,225935,0,0,759904,0,0,224826,0,329126,224826,garage rock
Arctic Monkeys,Dance Little Liar,0,1270,0,0,0,631804,0,0,0,0,1109,283493,garage rock
Arctic Monkeys,Do I Wanna Know?,0,0,0,0,0,0,730,0,0,0,0,0,None
Arctic Monkeys,Do Me a Favour,0,0,1556305,0,83493,607839,0,0,209253,0,209253,209253,garage rock
Arctic Monkeys,Fake Tales Of San Francisco,0,0,0,0,177946,0,177946,0,0,0,0,0,None
Arctic Monkeys,Fireside,0,0,93686,0,0,0,0,0,0,0,0,0,None
